Data Table for Weekly Deaths - The United States
Date generated: Tue Oct 22 2024 13:42:09 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Dec 24 2022,3319,Oct 17 2024
United States,Dec 17 2022,3187,Oct 17 2024
United States,Dec 10 2022,3036,Oct 17 2024
United States,Dec  3 2022,2592,Oct 17 2024
United States,Nov 26 2022,2497,Oct 17 2024
United States,Nov 19 2022,2256,Oct 17 2024
United States,Nov 12 2022,2201,Oct 17 2024
United States,Nov  5 2022,2248,Oct 17 2024
United States,Oct 29 2022,2242,Oct 17 2024
United States,Oct 22 2022,2198,Oct 17 2024
United States,Oct 15 2022,2147,Oct 17 2024
United States,Oct  8 2022,2194,Oct 17 2024
United States,Oct  1 2022,2377,Oct 17 2024
United States,Sep 24 2022,2546,Oct 17 2024
United States,Sep 17 2022,2513,Oct 17 2024
United States,Sep 10 2022,2808,Oct 17 2024
United States,Sep  3 2022,2926,Oct 17 2024
United States,Aug 27 2022,3050,Oct 17 2024
United States,Aug 20 2022,3166,Oct 17 2024
United States,Aug 13 2022,3284,Oct 17 2024
United States,Aug  6 2022,3373,Oct 17 2024
United States,Jul 30 2022,3401,Oct 17 2024
United States,Jul 23 2022,3226,Oct 17 2024
United States,Jul 16 2022,2929,Oct 17 2024
United States,Jul  9 2022,2588,Oct 17 2024
United States,Jul  2 2022,2420,Oct 17 2024
United States,Jun 25 2022,2329,Oct 17 2024
United States,Jun 18 2022,2194,Oct 17 2024
United States,Jun 11 2022,2139,Oct 17 2024
United States,Jun  4 2022,2007,Oct 17 2024
United States,May 28 2022,1940,Oct 17 2024
United States,May 21 2022,1742,Oct 17 2024
United States,May 14 2022,1676,Oct 17 2024
United States,May  7 2022,1433,Oct 17 2024
United States,Apr 30 2022,1426,Oct 17 2024
United States,Apr 23 2022,1345,Oct 17 2024
United States,Apr 16 2022,1410,Oct 17 2024
United States,Apr  9 2022,1552,Oct 17 2024
United States,Apr  2 2022,1908,Oct 17 2024
United States,Mar 26 2022,2505,Oct 17 2024
United States,Mar 19 2022,3127,Oct 17 2024
United States,Mar 12 2022,4404,Oct 17 2024
United States,Mar  5 2022,6041,Oct 17 2024
United States,Feb 26 2022,8290,Oct 17 2024
United States,Feb 19 2022,11566,Oct 17 2024
United States,Feb 12 2022,15317,Oct 17 2024
United States,Feb  5 2022,18756,Oct 17 2024
United States,Jan 29 2022,20966,Oct 17 2024
United States,Jan 22 2022,21335,Oct 17 2024
United States,Jan 15 2022,19078,Oct 17 2024
United States,Jan  8 2022,15125,Oct 17 2024
United States,Jan  1 2022,11677,Oct 17 2024
United States,Dec 25 2021,10458,Oct 17 2024
United States,Dec 18 2021,10250,Oct 17 2024
United States,Dec 11 2021,9734,Oct 17 2024
United States,Dec  4 2021,8781,Oct 17 2024
United States,Nov 27 2021,7886,Oct 17 2024
United States,Nov 20 2021,7310,Oct 17 2024
United States,Nov 13 2021,7159,Oct 17 2024
United States,Nov  6 2021,7287,Oct 17 2024
United States,Oct 30 2021,7960,Oct 17 2024
United States,Oct 23 2021,8941,Oct 17 2024
United States,Oct 16 2021,9878,Oct 17 2024
United States,Oct  9 2021,11180,Oct 17 2024
United States,Oct  2 2021,12830,Oct 17 2024
United States,Sep 25 2021,14347,Oct 17 2024
United States,Sep 18 2021,15211,Oct 17 2024
United States,Sep 11 2021,15417,Oct 17 2024
United States,Sep  4 2021,15493,Oct 17 2024
United States,Aug 28 2021,14174,Oct 17 2024
United States,Aug 21 2021,12181,Oct 17 2024
United States,Aug 14 2021,9406,Oct 17 2024
United States,Aug  7 2021,6484,Oct 17 2024
United States,Jul 31 2021,4105,Oct 17 2024
United States,Jul 24 2021,2760,Oct 17 2024
United States,Jul 17 2021,1991,Oct 17 2024
United States,Jul 10 2021,1645,Oct 17 2024
United States,Jul  3 2021,1543,Oct 17 2024
United States,Jun 26 2021,1635,Oct 17 2024
United States,Jun 19 2021,1776,Oct 17 2024
United States,Jun 12 2021,2035,Oct 17 2024
United States,Jun  5 2021,2347,Oct 17 2024
United States,May 29 2021,2770,Oct 17 2024
United States,May 22 2021,3238,Oct 17 2024
United States,May 15 2021,3678,Oct 17 2024
United States,May  8 2021,4006,Oct 17 2024
United States,May  1 2021,4165,Oct 17 2024
United States,Apr 24 2021,4601,Oct 17 2024
United States,Apr 17 2021,4450,Oct 17 2024
United States,Apr 10 2021,4313,Oct 17 2024
United States,Apr  3 2021,4197,Oct 17 2024
United States,Mar 27 2021,4461,Oct 17 2024
United States,Mar 20 2021,4893,Oct 17 2024
United States,Mar 13 2021,5725,Oct 17 2024
United States,Mar  6 2021,6731,Oct 17 2024
United States,Feb 27 2021,8654,Oct 17 2024
United States,Feb 20 2021,10807,Oct 17 2024
United States,Feb 13 2021,13519,Oct 17 2024
United States,Feb  6 2021,17034,Oct 17 2024
United States,Jan 30 2021,20322,Oct 17 2024
United States,Jan 23 2021,23687,Oct 17 2024
United States,Jan 16 2021,25692,Oct 17 2024
United States,Jan  9 2021,25974,Oct 17 2024
United States,Jan  2 2021,24845,Oct 17 2024
United States,Dec 26 2020,23364,Oct 17 2024
United States,Dec 19 2020,22314,Oct 17 2024
United States,Dec 12 2020,20913,Oct 17 2024
United States,Dec  5 2020,18545,Oct 17 2024
United States,Nov 28 2020,15615,Oct 17 2024
United States,Nov 21 2020,13343,Oct 17 2024
United States,Nov 14 2020,10644,Oct 17 2024
United States,Nov  7 2020,8754,Oct 17 2024
United States,Oct 31 2020,7019,Oct 17 2024
United States,Oct 24 2020,5990,Oct 17 2024
United States,Oct 17 2020,5195,Oct 17 2024
United States,Oct 10 2020,4813,Oct 17 2024
United States,Oct  3 2020,4240,Oct 17 2024
United States,Sep 26 2020,4296,Oct 17 2024
United States,Sep 19 2020,4273,Oct 17 2024
United States,Sep 12 2020,4618,Oct 17 2024
United States,Sep  5 2020,5010,Oct 17 2024
United States,Aug 29 2020,5739,Oct 17 2024
United States,Aug 22 2020,6374,Oct 17 2024
United States,Aug 15 2020,7248,Oct 17 2024
United States,Aug  8 2020,7848,Oct 17 2024
United States,Aug  1 2020,8285,Oct 17 2024
United States,Jul 25 2020,8229,Oct 17 2024
United States,Jul 18 2020,7166,Oct 17 2024
United States,Jul 11 2020,5770,Oct 17 2024
United States,Jul  4 2020,4540,Oct 17 2024
United States,Jun 27 2020,3835,Oct 17 2024
United States,Jun 20 2020,3844,Oct 17 2024
United States,Jun 13 2020,4227,Oct 17 2024
United States,Jun  6 2020,5046,Oct 17 2024
United States,May 30 2020,6160,Oct 17 2024
United States,May 23 2020,7229,Oct 17 2024
United States,May 16 2020,9229,Oct 17 2024
United States,May  9 2020,11223,Oct 17 2024
United States,May  2 2020,13200,Oct 17 2024
United States,Apr 25 2020,15525,Oct 17 2024
United States,Apr 18 2020,17201,Oct 17 2024
United States,Apr 11 2020,16306,Oct 17 2024
United States,Apr  4 2020,10113,Oct 17 2024
United States,Mar 28 2020,3211,Oct 17 2024
United States,Mar 21 2020,586,Oct 17 2024
United States,Mar 14 2020,60,Oct 17 2024
United States,Mar  7 2020,38,Oct 17 2024
United States,Feb 29 2020,9,Oct 17 2024
United States,Feb 22 2020,6,Oct 17 2024
United States,Feb 15 2020,6,Oct 17 2024
United States,Feb  8 2020,4,Oct 17 2024
United States,Feb  1 2020,0,Oct 17 2024
United States,Jan 25 2020,3,Oct 17 2024
United States,Jan 18 2020,2,Oct 17 2024
United States,Jan 11 2020,1,Oct 17 2024
